Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17;Field18;Field19;Field20;Field21;Field22;Field23;Field24;Field25;Field26;Field27;Field28;Field29;Field30;Field31;Field32;Field33;Field34;Field35;Field36;Field37;Field38;Field39;Field40;Field41;Field42;Field43
"Spaghetti con pomodori ""canditi"" all'origano.";Primi piatti;Pomodori;4;;0;400 gr. di pomodori ciliegia;sale;origano;peperoncino in polvere;aglio;prezzemolo ;basilico;olio;peperoncino intero;spaghetti;;;;;;;;;Tagliare a metà i pomodorini ciliegia e disporli in una teglia.;La parte alta deve stare verso l'alto.;Salarli, cospargerli di origano e spolverizzarli con un po' di peproncino.;Tritare uno spicchio d'aglio con poco basilico e prezzemolo.;Aggiungerli sui pomodorini.;Cuocerli in forno già caldo a 150° per circa un'ora e mezzo.;Devono risultare leggermente essiccati fuori e morbidi dentro.;Cuocere la pasta al dente.;Far rosolare in una padella olio, aglio e peperoncino.;Far saltare gli spaghetti nella padella con 3\4 dei pomodorini.;Spolverizzare con un po' di prezzemolo e di origano.;Guarnire con i restanti pomodorini e servire.;;;;;;;
Spaghetti con pomodori secchi nonna Giuliana;Primi piatti;Pomodorini secchi;5;;0;100 gr. di pomodorini secchi;1 scatola di polpa di pomodoro;acqua;origano;spaghetti;olio;;;;;;;;;;;;;Tagliare i pomodorini a pezzi molto piccoli.;Metterli in una pentola con la polpa e 1 scatola di acqua. ;Portare a bollore e cuocere a fuoco basso coperto.;Quando i pomodorini sono teneri scoperchiare e far asciugare.;Aggiungere origano. ;Scolare gli spaghetti e saltarli in pentola con un filo d'olio.;Servire caldi con abbondante grana.;;;;;;;;;;;;Più che OTTIMI!!!!!!!!!!
Spaghetti croccanti cinesi con i gamberi;Primi piatti;Gamberetti;;;0;Zucchine;Cipolla;Carote;Gamberetti (senza carapace);un vasetto di salsa di soia;tabasco;worcester sauce;olio;;;;;;;;;;;Procedere come per gli spaghetti croccanti cinesi al tacchino.;Con un goccio d'olio rosolare i gamberetti nel wok;Metterli da parte;Cuocere le verdure come per gli spaghetti croccanti cinesi al tacchino.;Procedere con gli spaghetti;Mescolare spaghetti croccanti e verdure.;Aggiungere i gamberetti e spadellare.;;;;;;;;;;;;Ricetta di mia invenzione.
Spaghetti croccanti cinesi con il tacchino;Primi piatti;Carne bianca;;;0;"Condimento come ""spaghetti di soia""";"400 gr. di spaghetti ""normali""";;;;;;;;;;;;;;;;;Cuocere gli spaghetti al dente.;Mettere il liquido del condimento e un po' d'olio in una padella.;Metterci gli spaghetti e rosarli bene.;Devono diventare croccanti, quasi fritti.;Aggiungere il sugo.;Mescolare bene.;Servire subito se no si ammollano.;;;;;;;;;;;;Ricetta di mia invenzione. Viene ottimo con gli spaghetti Barilla n° 3, che sono più piccoli.
"Spaghetti di ""Lilli e il mappamondo!""";Primi piatti;Carne rossa;;;0;1 kg gr. di carne macinata mista;cipolla surgelata;prezzemolo surgelato;pane grattato;2 uova;sale;pepe;salsa di pomodoro;spaghetti;grana grattuggiato;;;;;;;;;Fare le polpette;Scaldare la salsa di pomodoro in una padella larga e bassa.;Metterci le polpette man mano che si fanno;Cuocerle coperte su fuoco basso;Cuocere gli spaghetti;Condirli col sugo;Servirli con abbondante grana grattugiato;;;;;;;;;;;;"Mia invenzione! Buonissima! Fare le polpette piccoline così è più facile mangiarle. Il titolo viene dal film ""lilli e il vagabondo"" che i bimbi storpiavano. "
Spaghetti di soia;Primi piatti;Spaghetti di soia;10;;0;500 gr. di spaghetti di soia;peperone rosso;peperone giallo;zucchine;carote ;cipolla;petto di tacchino a fette;un vasetto di salsa di soia;tabasco;worcester sauce;olio;;;;;;;;Tagliare il tacchino a pezzi molto piccoli.;Rosolarli con un po' d'olio nel wok.;Tagliare tutte le verdure a filetti.;Aggiungere le verdure alla carne (anche il sugo dei peperoni).;Far cuocere bene mescolando.;Aggiungere un po' di wocester sauce e di tabasco.;Aggiungere la salsa di soia.;Portare a bollore una grande pentola di acqua salata.;Aggiungere gli spaghetti di soia, coprire e spegnere.;Dopo 5 min. scolarli e aggiungerli al condimento.;Accendere il fuoco sotto il wok e mescolare bene.;Servire direttamente nel wok.;;;;;;;Ricetta di mia invenzione.
Spaghetti panna e peperoni;Primi piatti;Peperoni;4;375;1500;350 gr. di spaghetti;3 peperoni rossi;1 cipolla;100 gr. di panna (o ricotta);sale;pepe;;;;;;;;;;;;;Frullare i peperoni insieme alla cipolla.;Aggiungerci la ricotta.;Salare e pepare.;Cuocere la pasta e scolarla al dente.;Versarla in una zuppiera riscaldata.;Mescolarla con la salsa e servirla subito.;;;;;;;;;;;;;
Speck knoderl;Primi piatti;Pane;6;620;3720;600 gr. di pane raffermo;3 uova;1 cipollina;200 gr. di pancetta a dadini;farina;acqua;sale;;;;;;;;;;;;Si taglia il pane a pezzetti.;Si mette in una terrina.;Si mette un po' d'acqua.;Quando è assorbita se ne aggiunge ancora.;Non deve però risultare troppo molle.;Far rosolare la pancetta con la cipolla tritata.;Versare tutto nella terrina.;Mescolare molto bene.;Aggiungere le uova e un cucchiaio di farina.;Formare delle palle grosse come un pugno.;Infarinarle.;Cuocerle in acqua bollente.;Quando vengono a galla si scolano.;;;;;;Si servono con salsa di pomodoro o ragù. Si possono preparare anche in brodo.                                                                                                                                                  Ricetta della nonna Nina.
Speck knoderl con chiare;Primi piatti;Pane;6;596;3576;600 gr. di pane raffermo;3 chiare;1 cipollina;200 gr. di pancetta a dadini;farina;sale;acqua;;;;;;;;;;;;Tagliare il pane a pezzettini.;Metterlo in una terrina e bagnarlo con le chiare.;Poi si aggiunge acqua fino ad ottenere una massa uniforme.;In una pentolina si fa rosolare la cipolla con la pancetta.;Si versa il tutto nella terrina del pane.;Si mescola bene.;Si aggiunge anche un cucchiaio di farina.;Si fanno delle palle grosse come un pugno.;Si infarinano.;Si cuociono in acqua bollente.;Quando vengono a galla si scolano.;;;;;;;;Sono ottimi conditi con ragù o salsa di pomodoro. Si possono cuocere anche in brodo.                                                                                                                                                 Ricetta della nonna Nina.
Spetzel;Primi piatti;Farina;4;;0;280 gr. di farina;3 uova;1 cucchiaino da caffè di sale fino;acqua;;;;;;;;;;;;;;;Mescolare con un cucchiaio la farina, le uova e il sale.;Aggiungere un po' d'acqua per ottenere una pasta fluida npn troppo spessa;Far bollire dell'acqua salata.;Versare la pastella nell'apposito utensile. ;Formare gli spetzli.;Mescolare bene.;Toglierli con la schiumarola appena vengono a galla.;Servirli con burro fuso e grana, o panna e pancetta, ecc. ecc.;;;;Prima di mettere l'acqua si può aggiungere:;Spinaci lessate e frullate;Rape rosse precotte frullate;Concentrato di pomodoro;Zafferano;Ecc. Ecc.;;
Spetzel agli spianci;Primi piatti;Spinaci;4;350;1400;400 gr. di spinaci;200 gr. di farina;2-3 uova intere;3 cucchiai di olio extravergine;sale;noce moscata;;;;;;;;;;;;;Cuocere gli spinaci e frullarli.;Aggiungere uova, farina,olio, noce moscata, sale.;Amalgamare bene.;Non deve risultare ne' troppo solido ne' troppo liquido.;Far riposare per 20-30 minuti.;Portare a bollore abbondante acqua salata.;Mettere l'impasto nell'apposito attrezzo e fare i gnocchetti.;Appena vengono a galla toglierli con la schiumarola.;Metterli direttamente nei piatti.;CONDIRLI CON :;250 gr. di panna, 1,5 gr. di spek tagliato a cubetti, grana.;250 gr. di panna, 100 gr. di emmental a dadini, noce moscata, grana.;burro fuso, grana grattuggiato.;;;;;;Ricetta della zia Angela.
Spetzel ai tre colori;Primi piatti;Uova;4;500;2000;600 gr. di farina;4 uova;1 tuorlo;una bustina di zafferano;latte;2 cucchiai di pomodoro in tubetto;3 cucchiai di grana grattuggiato;burro;sale;una manciata di spinaci già cotte;;;;;;;;;Usare tre ciotole.;In ciascuna mettere 200 gr. di farina.;In una metterci un uovo e il tuorlo.;Sciogliere lo zefferano in poco latte e aggiungerlo.;Diluire con altro latte.;Nella altre due mettere 2 uova per ciascuno.;In una aggiungerci il pomodoro.;Nell'altra metterci le spinaci frullate.;Aggiungere latte fino ad ottenere una pastella consistente.;Salare entrambe le pastelle.;Far bollire abbondante acqua salata.;Mettere le pastelle, a turno, nell'apposito attrezzo e cuocere i gnocchetti.;Appena vengono a galla toglierli con la schiumarola.;Metterli direttamente nei piatti.;Condirli con burro fuso e grana.;;;;
Spetzel con cipolla e pancetta;Primi piatti;Pancetta;;;0;spetzel ;pancetta affumicata a cubetti;cipolle tagliate fini;olio;sale;grana;;;;;;;;;;;;;Soffriggere molto bene la cipolla con olio e un po' d'acqua. ;Rosolare a parte la pancetta.;Aggiungere la pancetta alla cipolla.;Salare.;Scolare gli spetzel dentro il sugo.;Saltare bene.;Servire con abbondante grana.;;;;;;;;;;;;MA CHE BUONI!!!!!!!!!!!!!!!!!!!!!!!!
Spetzel funghi e salsiccia;Primi piatti;Salsiccia;;;0;VEDI;;Tagliatelle, funghi e salsiccia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spetzle ai funghi secchi, panna e pancetta 1;Primi piatti;Funghi secchi;;;0;Spatzle;Funghi secchi;Panna;Pancetta;Grana;;;;;;;;;;;;;;Ammollare molto bene i funghi in acqua calda;Frullarli;Rosolare la pancetta;Aggiungere la panna;Aggiungere i funghi e l'acqua filtrata;Far ritirare il sugo;Cuocere gli spatzle;Metterli nel sugo;Far mescolare bene sul fuoco;Servire con abbondante grana grattugiato;;;;;;;;;Ricetta di mia invenzione. Molto buona!!!! Ottima con funghi misti o porcini. I finferli vanno bene ma sono n po' troppo delicati.
Spetzle ai funghi secchi, panna e pancetta 2;Primi piatti;Funghi secchi;;;0;Sparzle;Funghi secchi;Panna;Pancetta;Grana;;;;;;;;;;;;;;Ammollare molto bene i funghi in acqua calda;Frullarli;Scaldare bene la panna;Aggiungere i funghi e l'acqua filtrata;Rosolare la pancetta a parte;Far ritirare il sugo di panna;Cuocere gli spatzle;Metterli nel sugo;Far amalgamare bene sul fuoco;Nei piatti mettere la pancetta in modo che resta croccante;Grana grattuggiato abbondante;;;;;;;;Ricetta degli spatzle n. 1 modificata con Paola! Ottimi con funghi secchi misti o meglio con i porcini. I finferli sono troppo delicati
"Tagliatelle ""alla Mario""";Primi piatti;Salsiccia;4;1001;4004;cipolla;burro;acqua;panna;salsiccia a metro;3 grani di pimento;tagliatelle alle spinaci;marsala secco;grana;;;;;;;;;;Tagliare sottilmente la cipolla.;Cuocerla con burro e acqua finchè non è trasparente.;Lasciare sul fuoco per 15 min.;Togliere la pelle alla salsiccia e ridurla in pezzi.;Alla cipolla aggiungere un po' di marsala.;Aggiungere la salsiccia.;Mescolare bene e metterci i grani di pimento.;A fine cottura togliere il sugo.;Far cuocere le tagliatelle al dente.;Versarle nella padella della salsiccia.;Aggiungere la panna e padellare.;Spolverare di grana e servire.;;;;;;;Mettere poca pasta perchè le tagliatelle all'uovo crescono molto.           Ricetta del nonno Mario.
Tagliatelle ai funghi di Paola;Primi piatti;Funghi secchi;;;0;2 manciate di funghi porcini secchi;400 gr. di farina di semola;2 uova;2 porri;500 gr. di salsiccia lunga;acqua;olio;sale grosso;;;;;;;;;;;Mettere in ammollo i funghi in una tazza grande di acqua tiepida;Pulire il porro.;Rosolarlo con olio, acqua e sale;Aggiungere la salsiccia a pezzi priva della pelle.;Nel robot mettere 200 gr. di farina con i funghi sgocciolati.;Tritare e aggiungere il resto della farina.;Aggiungere 2 uova e un po' dell'acqua dei funghi filtrata.;Fare la pasta e fare le tagliatelle.;Nel sugo di salsiccia aggiungere la rimanente acqua dei funghi ;Far evaporare.;Cuocere la pasta in acqua bollente salata.;Scolarla e metterla nella padella del sugo.;Spadellarla velocemente e servire;A piacere spolverizzare di grana ma è già molto saporita;;;;;La pasta scolata è ottima condita con pochissimo burro. A piacere si può mettere del grana ma è ottima anche senza. Ricetta di Paola, OTTIMA!!!!!!
Tagliatelle ai piselli;Primi piatti;Piselli;4;406;1624;piselli cotti alla solita maniera;300 gr. di tagliatelle;burro;grana;;;;;;;;;;;;;;;Lessare le tagliatelle leggermente al dente.;Scolarle e mescolarle con un pochino di burro.;Aggiungerci i piselli.;Mescolare bene.;Spolverare con il grana.;Servire subito.;;;;;;;;;;;;;Ricetta della nonna Giuliana.
Tagliatelle al burro di tartufo;Primi piatti;Burro al tartufo;;;0;Tagliatelle all'uovo secche;Burro  al tartufo;Grana ggrattugiato;;;;;;;;;;;;;;;;Cuocere le tagliatelle;Sciogliere leggermente il burro al tartufo.;Condire bene la pasta;Servire con abbondante grana grattugiato;;;;;;;;;;;;;;;mamma che buoni!!!!!!!!!!
Tagliatelle al prosciutto di Mario;Primi piatti;Prosciutto;4;823;3292;300 gr. di tagliatelle bianche;una fetta di prosciutto cotto;panna;4 rossi d'uovo;grana;;;;;;;;;;;;;;Mescolare la panna con i rossi d'uovo.;Tagliare il prosciutto a dadini. ;Mescolarlo alla panna.;Mettere a scaldare leggermente su fuoco basso.;Nel frattempo cuocere le tagliatelle al dente.;Mescolare con la salsa.;Spolverare di grana.;Servire subito.;;;;;;;;;;;Ricetta del nonno Mario.
Tagliatelle al salmone;Primi piatti;Salmone affumicato;4;654;2616;300 gr. di tagliatelle all'uovo;400 gr. di ritagli di salmone affum.;1 cartone di panna;burro;wodka (o altro liquore secco);;;;;;;;;;;;;;Mettere un pezzettino di burro in una capace padella.;Aggiungerci i ritagli di salmone.;Farli leggermente dorare.;Aggiungere un po' di liquore e far evaporare.;Nel frattempo cuocere le tagliatelle.;Aggiungere la panna al salmone.;Scolare le tagliatelle e spadellarle.;Servire caldo.;;;;;;;;;;;Volendo si può mettere un po' di grana ma con il pesce non è molto indicato.
Tagliatelle alla salsiccia cotta ai ferri di Gio;Primi piatti;Salsiccia ai ferri;3;;0;150 gr. di tagliatelle;3 salsicce cotte ai ferri;latte;funghi secchi ammollati;grana grattuggiato;;;;;;;;;;;;;;Cuocere le tagliatelle;Passare le salsicce nel tritacarne;Metterle in una padella con del latte e portare a bollore;Frullare i funghi e aggiungerli;Filtrare l'acqua dei funghi e aggiungerla;Far addensare uin pochino;Scolare la pasta e farla saltare nel sugo;Servire con abbondante grana;;;;;;;;;;;Ottimo riciclo di salsicce avanzate dal BBQ!
Tagliatelle con le noci;Primi piatti;Noci;;;0;400 gr. di tagliatelle all'uovo;noci sgusciate;mascarpone;grana;burro;;;;;;;;;;;;;;Cuocere le tagliatelle.;Tritare grossolanamente le noci.;Mettere un po' di burro in una padella e mettere le noci a rosolare.;Scolare la pasta e condirla con il mascarpone.;Aggiungere il grana e mescolare bene.;Spolverare con le noci e servire.;;;;;;;;;;;;;Buonissima!!!!
Tagliatelle con salsa alle noci;Primi piatti;Noci;4;710;2840;400 gr. di tagliatelle all'uovo;20 gherigli di noce;la mollica di un panino;1 dl di latte;5 cucchiai di olio extravergine;sale;;;;;;;;;;;;;Mettere la mollica a bagno nel latte e far ammorbidire.;Strizzarla e metterla nel vaso del frullatore.;Aggiungerci le noci e frullare.;Salare e aggiungere 4 cucchiai di olio.;Cuocere le tagliatelle in abbondante acqua salata.;Metterci un cucchiaio di olio perchè non attacchino.;Mettere un mestolino di acqua della pasta nella salsa.;Scolare le tagliatelle al dente.;Condirle con la salsa e servire immediatamente.;;;;;;;;;;
Tagliatelle di frittata e funghi;Primi piatti;Funghi;4;270;1080;4 uova;80 gr.di grana grattugiato;400 gr. di champignon;2 spicchi d'aglio;prezzemolo;olio d'oliva;burro;pepe;sale;;;;;;;;;;Cuocere i funghi puliti con un po' d'olio, sale , aglio, prezzemolo.;Sbattere un po' le uova con un pizzico di sale e di pepe.;Mettere metà grana e mescolare.;Ungere una padella di 26 cm. e versarvi le uova sbattute.;Cuocere 2 minuti.;Girare la frittata e cuocere altri 2 minuti.;Mettere la frittata su fogli di carta da cucina a raffreddare.;Tagliarla a strisce di 1 cm.;Imburrare una teglia.;Metterci le fettine di frittata e i funghi con il loro sugo.;Spolverizzare con il grana rimasto.;Mettere la pirofila in forno caldo per 5 min.;Servire subito.;;;;;;
Tagliatelle di uova;Primi piatti;Uova;4;428;1712;8 uova;60 gr. di grana grattuggiato;60 gr. di burro;400 gr. di polpa di pomodoro;basilico;aglio;sale;pepe;;;;;;;;;;;Sbattere le uova in una terrina con 40 gr. di grana.;Aggiungere sale e pepe.;Ungere una larga padella antiaderente.;Cuocere 5-6 sottilissime frittatine.;Far sciogliere il restante burro in una casseruolina e far rosolare l'aglio.;Aggiungere il pomodoro, il sale, il pepe e il basilico.;Cuocere per 10 min.;Aggiungere il basilico e togliere l'aglio.;Tagliare le frittatine a listarelle sottili.;Condirle con il sugo ben caldo.;A piacere spolverizzare con il grana.;Servire subito.;;;;;;;
Tagliatelle funghi e salsicce;Primi piatti;Salsicce;;;0;Salsicce a metro;Champignon già cotti;(panna) latte;tagliatelle all'uovo;(funghi secchi);;;;;;;;;;;;;;Tritare le salsicce nel trita carne.;Rosolarle bene.;Aggiungere i funghi già cotti e asciutti.;Amalgamare bene.;Aggiungere la panna e far ritirare.;Scolare le tagliatelle e versarle nel sugo.;Servire con abbondante grana grattuggiato.;;;;;;;;;;;;Ricetta di mia invenzione. OTTIMA!! Provare con gli spetzle bianchi. A piacere si possono aggiungere al sugo un po' di funghi secchi ammollati frullati con qualche cucchiaio della loro acqua.
Tortellini al finto sugo di carne;Primi piatti;Tortellini;;;0;Tortellini di magro;burro;marsala secco;(estratto di carne Liebig);salvia;grana;;;;;;;;;;;;;Cuocere i tortellini in abbondante acqua salata;In una padella sciogliere il burro;Aggiungere un po' d'estratto di carne ( a piacere);Far sciogliere;Aggiungere la salvia e far bene aromatizzare;Sfumare con abbondante marsala e far evaporare;Scolare i tortellini e metterli nella padella;Far saltare nel sugo per qualche minuto;Servire con abbondante formaggio grana;;;;;;;;;;Veramente buoni e saporiti! (Tutto sommato l'estratto di carne gli dà un leggero gusto amaro, senza è ancora più buono!)
Tortelloni al gorgonzola;Primi piatti;Formaggio;4;600;2400;400 gr. di tortelloni di magro;4 cucchiai di grana grattuggiato;100 gr. di gorgonzola;5-6 gherigli di noce tritati;2-3 cucchiai di latte;sale;;;;;;;;;;;;;Tagliare il gorgonzola a tocchetti.;Mettere i pezzi in una pentola.;Aggiungere il latte.;Far cuocere a fiamma dolce finchè sarà completamente sciolto.;Fuori dal fuoco amalgamarvi i gherigli di noce.;Se deve attendere tenerla in caldo a bagnomaria.;Cuocere i tortelloni in abbondante acqua salata.;Scolarli al dente con un mestolo forato.;Formare un primo strato su di un piatto da portata caldo.;Spolverizzare con poco grana.;Velarli con una parte della salsa.;Procede in questo modo fino ad esaurimento degli ingredienti.;Muovere leggermente il piatto perchè la salsa avvolga tutti i tortellini.;Evitare di mescolare per non romperli.;Servire subito.;;;;
Zuppa di cipolle;Primi piatti;Cipolle;;589;0;cipolle;olio;brodo di carne;sale;pepe;pane tipo pugliese;emmental;grana;farina;;;;;;;;;;Affettare le cipolle e stufarle 20 min. con un po' d'olio.;Aggiungere un po' di farina.;Salare e pepare.;Aggiungere il brodo caldo e far bollire.;Tostare il pane tagliato a fette.;Mettere il pane sul piatto.;Spolverizzare di emmental grattuggiato.;Mettere la zuppa, altro emmental e grana.;Servire caldissimo.;;;;;;;;;;Ottima e veloce!
Zuppa di cipolle e salvia;Primi piatti;Cipolle;;;0;5 cipolle grandi;abbondante salvia;abbondante burro;2 cucchiai di farina;1 litro di brodo di dado vegetale;pane fatto in casa a fette tostato;sale grosso;grana;;;;;;;;;;;Sciogliere metà burro e aggiungere le foglie di salvia. ;Rosolare bene.;Aggiungere le cipolle tagliate a filo col robot;Far appassire a fuoco basso per 8 minuti.;Aggiungere la farina e mescolare bene.;Aggiungere il restante burro e amalgamare bene.;Aggiunegere il brodo.;Far cuocere per 1 ora e 1/2 a fuoco basso mescolando di tanto in tanto.;Prima di servire assaggiare per il sale.;Servire con pane tostato e grana grattato. ;;;;;;;;;Veramente buona e di gusto delicato!
Zuppa di cozze;Primi piatti;Cozze;4;346;1384;1 kg. di cozze pulite e lavate;1\2 kg. di pomodori in pezzetti;2 cucchiai di prezzemolo tritato;4-5 gambi di prezzemolo;2 spicchi d'aglio;4 fette di pane pugliese tostate;1\2 bicchiere di vino bianco secco;4 cucchiai di olio extravergine;sale;pepe;;;;;;;;;In una padella mettere uno spicchio d'aglio e i gambi del prezzemolo.;Aggiungere il vino e metterci le cozze.;Far aprire i molluschi a fiamma vivace.;Estrarre i molluschi lasciandone alcuni in metà guscio.;Filtrare il fondo di cottura con un telo spesso.;In un tegame far dorare lo spicchio d'aglio con un cucchiaio di olio.;Eliminarlo e aggiungere metà del prezzemolo.;Aggiungere i pomodori. ;Coprire e cuocere per 5-6 min.;Unire il fondo di cottura delle cozze.;Continuare a cuocere.;Dopo 2 min. aggiungere i molluschi.;Assaggiare per il sale e il pepe.;Spegnere e condire la zuppa con un filo d'olio e il prezzemolo rimasto.;Servire con le fette di pane tostate eventualmente strofinate di aglio.;;;;Ricetta della nonna Giuliana.
Zuppa di pesce di Giulia;Primi piatti;Pesce;;;0;2 scatole di fior di Nasello surgelato;1 sacchetto di Vongole surgelate;1 sacchetto di Gamberetti surgelati;2 litri di salsa di pomodoro;peperoncino;sale;olio;prezzemolo;pane tostato;;;;;;;;;;Nel wok mettere il nasello e farlo rosolare bene con un filo d'olio.;Mescolare bene e formare delle briciole.;Aggiungere il pomodoro, un filo d'olio, sale e peperoncino a piacere.;(Aggiungere un po' d'acqua nelle bottiglie di pomodoro e aggiungerla);Coprire e portare a bollore.;Aggiungere le vongole e i gamberetti. ;Far cuocere per circa 5-10 min.;Aggiungere abbondante prezzemolo.;Servire con il pane tostato.;;;;;;;;;;Ricetta di Giulia
Acciugata;Salse;Acciughe;;;0;Olio extravergine;acciughe sott'olio;capperi sotto sale;;;;;;;;;;;;;;;;Dissalare i capperi.;Mattere abbondante olio in un pentolino.;Scaldarlo bene.;Agiungere le acciughe.;Sgocciolare i capperi e tritarli.;Aggiungerli all'olio.;Far sciogliere bene le acciughe sul fuoco.;;;;Servirla su petto di pollo lesso e patate lesse.;;;;;;;;Ottima!
Besciamella con il microonde;Salse;Farina;;;0;50 gr. di burro fuso;50 gr. di farina;1/2 litro di latte;sale;;;;;;;;;;;;;;;Sciogliere il burro.;Con le fruste aggiungerci la farina.;Aggiungere il latte e il sale e continuare a mescolare .;Mettere nel microonde per 5 min.;Mescolare con le fruste.;Cuocere altri 5 min.;;;;;;;;;;;;;Latte: più o meno a seconda della consistenza desiderata.
Crema al formaggio;Salse;Ricotta;;;0;Ricotta;Philadelphia;Gorgonzola con mascarpone;;;;;;;;;;;;;;;;Mescolare molto bene i formaggi insieme.;Servire con cruditè o crostini di pane.;;;;;;;;;;;;;;;;;Ricetta di Giovanna Formigaro.
Crema di formaggio di Christina;Salse;Ricotta;;;0;Ricotta;Philadelphia;Aromi vari ;Cruditè;;;;;;;;;;;;;;;Mescolare la ricotta con il formaggio.;Aggiungere aromi a piacere;Servire con cruditè;;;;;;;;;;;;;;;;Aromi: spezie, pasta d'acciughe, pasta d'olive,ecc. Ricetta di Christina
Guacamole;Salse;Avocado;;;0;2 avocadi;succo di un limone;2 cucchiai di cipolla tritata fine;un cucchiaino di sale;2 cucchiaini di paprica;;;;;;;;;;;;;;Tagliare a metà gli avocadi.;Togliere il nocciolo e la buccia.;Frullare la polpa con il succo di limone.;Togliere dal frullatore e unire la cipolla tritata.;Salare e mettere la paprica.;Mescolare molto bene.;Servire con le tortillas.;;;;;;;;;;;;
Maionese al curry di Paola;Salse;Maionesedi Mc Donald;;;0;Maionese di Mc Donald;curry in polvere;;;;;;;;;;;;;;;;;Mescolare e servire con le cotolette impanate comprate;;;;;;;;;;;;;;;;;;Molto buona! Ma solo se la maionese è quella di Mc Donald che è un po' diversa dalle altre.
Maionese alle erbe;Salse;Maionese;;;0;Maionese;Basilico tritato;Prezzemolo tritato;;;;;;;;;;;;;;;;Mescolare bene e servire con delle verdure lesse.;;;;;;;;;;;;;;;;;;Molto buona!
Maionese con le uova sode;Salse;Uova;;;0;9 uova sode;olio extra vergine;sale;1 cucchiaino e 1/2 di senape;;;;;;;;;;;;;;;Frullare tutto stando attenti a non esagerare con l'olio;;;;;;;;;;;;;;;;;;Ottima con gli asparagi bianchi ma anche col pane, crostini o col prosciutto cotto!!!!!!!
Pesto alla genovese;Salse;Basilico;4;234;936;3 mazzetti di basilico;formaggio grana grattuggiato;una manciata di pinoli;sale;olio d'oliva extravergine;;;;;;;;;;;;;;Mettere nel frullatore le foglie di basilico pulite e asciutte.;Azionare ad una velocità bassa per non cuocerle.;Aggiungere l'olio in modo da formare una crema omogenea.;Aggiungere i pinoli e poi il grana.;Assaggiare per il sale.;;;;;;;;;;;;;;Al posto dei pinoli si possono mettere dei gherigli di noce.
Ragù;Salse;Carne rossa;6;156;936;1 kg. di macinato misto;3 scatole di polpa di pomodoro;Qualche granello di pimento;2 dadi;;;;;;;;;;;;;;;Mettere la carne in una capace pentola.;Aggiungere la polpa di pomodoro con un po' d'acqua.;Metterci i dadi.;Aggiungere i grani di pimento.;Coprire.;Far pipare a fuoco minimo.;Cuocere per 1-2 ore con il coperchio leggermente inclinato.;Ogni tanto mescolare.;;;;;;;;;;;Togliere il pimento prima di servire.
Salsa andriese;Salse;Cipolle;;;0;cipolle;2 scatole di polpa pronta;olive nere snocciolate;olio;sale;;;;;;;;;;;;;;Tritare le cipolle e cuocerle con il pomodoro.;Cuocerle finchè le cipolle non si saranno molto ben cotte.;Aggiungere le olive nere, poco olio e un po' di sale.;;;;;;;;;;;;;;;;Ottima con uova sode, pasta, riso e carne lessa.                               Ricetta dei nonni De Sandre.
Salsa campagnola;Salse;Radicchio;;;0;Fagioli in scatola;radicchio di treviso;fondo di bresaola;olio ;sale;pepe;;;;;;;;;;;;;Tagliare il radicchio a fettine.;Metterlo in una padella con un po' d'olio e far appassire.;Aggiungere la bresaola a pezzettini.;Sale e pepe.;Agiungere i fagioli scolati non del tutto.;Far bollire un po'.;Frullare aggiungendo un po' d'olio per mantecare.;;;;;;;;;;;;Ricetta del nonno Mario riveduta e corretta da me.
Salsa di pomodoro;Salse;Pomodoro;0;0;0;6 scatole di polpa di pomodoro;1 cipolla bianca grande;olio extravergine d'oliva;sale;basilico fresco;;;;;;;;;;;;;;Mettere la polpa di pomodoro in una pentola capace.;Aggiungere la cipolla pulita.;Coprire appena con un coperchio.;Cuocere a lungo e con fiamma bassa.;Quando la polpa di è ben asciugata far raffreddare.;Passare tutto al passaverdure.;Mettere in scatole e conservare in frezzer.;Al momento di servire condire con olio evo, sale e basilico fresco. ;;;;;;;;;;;Ricetta OTTIMA della nonna Giuliana!
Salsa di prezzemolo;Salse;Prezzemolo;;;0;100 gr. di prezzemolo;1 limone;maionese in barattolo;capperi;olio extra;acciuga;;;;;;;;;;;;;Frullare il prezzemolo con i capperi e l'acciuga.;Aggiungere la maionese, il limone e l'olio.;Mescolare bene.;;;;;;;;;;;;;;;;Ottima con la carne ai ferri. Ricetta di Giuliana.
Salsa per carne barbecue;Salse;Ketchup;;;0;1\2 cipolla;2 spicchi d'aglio;sedano;1 bottiglia di ketchup;1\2 tazza di birra;2 cucchiai di aceto bianco;1 cucchiaio di worcestersause;2 cucchiai di zucchero di canna;sale;pepe;olio d'oliva;paprika;origano;;;;;;Frullare cipolla, aglio e sedano.;Rosolare in olio d'oliva.;Aggiungere ketchup, birra e aceto.;Continuare la cottura.;Aggiungere worcestersause, zucchero, sale e pepe.;Aggiungere anche paprika e origano.;Far bollire per 15 min.;Far addensare e frullare.;;;;;;;;;;;A metà cottura della carne ai ferri si spalma sulla carne e si continua la cottura. Ottima anche con carne già cotta. Ricetta di Christina.
